Tissue,Mean,Standard deviation,Median
Blood,46342.5,25126.89976,38948
BoneMarrow,2060900.693,573380.7515,2212727.415
Thymus,821737,416239.6422,821857.9437
Spleen,6291807.354,1521511.944,6576342.472
LN,1840145.249,460153.8443,1866067
MLN,1858165.333,807948.7797,1665504.283
PP,25079,4602.300294,24831
Adrenals,109.6666667,58.1836174,115
Brain,133.5,28.10100829,130.5
Skin,856.8,534.7181688,839.5
Kidney,2268.497858,718.7221394,2172
Liver,16333.82606,3555.25364,17743
Lung,2523.017102,2258.129598,1573.5
Pancreas,8077.75,14023,26137
Muscle,4782.7125,7783.219393,1240.5
WAT,925,618.6377508,887.5
IEL,10327,2983.471915,11385.5
LPL,177160.25,26693.04513,181388.5
FRT,675.5,525.7163367,467.5
